hour,day_name,category,followers_count,duration_seconds,hashtag_count,caption_length,has_trending_audio,female_presence_score,face_count,brightness_score,colorfulness_score,engagement_rate,engagement_score,source,is_weekend,is_peak_hour,is_morning,is_high_eng_category,is_short_reel,followers_log,hashtag_optimal,engagement_potential,day_num,category_enc
7,Monday,Education,126958,30,19,37,1,0.2,2,0.64,0.22,0.085,5313,original,0,0,1,0,1,11.751619478672737,0,4.9126477914690945,0,1
18,Friday,Entertainment,151867,30,5,60,0,0.31,3,0.45,0.78,0.114,16002,original,0,1,0,1,1,11.930767001479769,1,5.080306800591908,4,2
22,Sunday,Lifestyle,136932,30,15,270,1,0.24,2,0.38,0.61,0.108,10354,original,1,0,0,0,1,11.827247034090881,1,4.976898813636352,6,3
14,Monday,Sports,370838,90,16,270,1,0.21,4,0.89,0.68,0.115,7953,original,0,0,0,1,0,12.823523285136547,0,5.485409314054619,0,4
23,Friday,Education,264178,45,6,17,1,0.42,0,0.65,0.71,0.079,9447,original,0,0,0,0,1,12.484382182672787,1,5.349752873069115,4,1
13,Sunday,Business,124879,90,7,147,1,0.91,4,0.31,0.62,0.072,8462,original,1,0,0,0,0,11.735108555189314,1,5.0620434220757256,6,0
17,Sunday,Sports,115268,45,18,47,1,0.51,0,0.86,0.67,0.083,12980,original,1,0,0,1,1,11.655023806273313,0,5.070009522509325,6,4
13,Monday,Sports,212892,45,3,120,1,0.19,1,0.99,0.75,0.089,10945,original,0,0,0,1,1,12.268544971054986,0,5.293417988421996,0,4
22,Monday,Education,59886,30,16,229,0,0.08,4,0.72,0.8,0.095,12763,original,0,0,0,0,1,11.000214732168839,0,4.720085892867536,0,1
23,Friday,Business,142337,60,17,232,1,0.7,4,0.65,0.78,0.09,8152,original,0,0,0,0,0,11.86595978989042,0,5.172383915956168,4,0
22,Monday,Lifestyle,480602,15,11,145,0,0.38,3,0.91,0.9,0.079,9270,original,0,0,0,0,1,13.082796844462276,1,5.67111873778491,0,3
10,Wednesday,Sports,435410,30,17,265,1,0.82,2,0.97,0.35,0.072,8582,original,0,0,1,1,1,12.984045691588394,0,5.621618276635358,2,4
8,Thursday,Entertainment,92498,30,19,58,1,0.66,0,0.83,0.52,0.084,9608,original,0,0,1,1,1,11.434953112631268,0,4.975981245052507,3,2
11,Sunday,Sports,379871,60,6,87,0,0.8,0,0.61,0.96,0.093,8762,original,1,0,0,1,0,12.84758963285326,1,5.613035853141305,6,4
19,Tuesday,Entertainment,393468,15,14,114,0,0.27,3,0.71,0.52,0.084,11952,original,0,1,0,1,1,12.882757563558384,1,5.453103025423355,1,2
10,Thursday,Education,180203,90,7,178,0,0.69,3,0.79,0.3,0.109,8085,original,0,0,1,0,0,12.101844821468282,1,5.1967379285873125,3,1
18,Monday,Entertainment,196335,90,7,226,1,0.26,2,0.44,0.62,0.082,15776,original,0,1,0,1,0,12.18758275621633,1,5.139033102486532,0,2
8,Friday,Sports,283167,30,13,128,1,0.94,2,0.61,0.29,0.085,9543,original,0,0,1,1,1,12.553795640067078,1,5.389518256026831,4,4
20,Friday,Tech,46090,15,8,199,0,0.64,4,0.88,0.36,0.113,14177,original,0,1,0,0,1,10.738372982159593,1,4.671349192863838,4,5
7,Monday,Entertainment,334365,30,9,264,1,0.32,1,0.76,1.0,0.083,7291,original,0,0,1,1,1,12.719991480382319,1,5.503996592152928,0,2
22,Tuesday,Business,69820,45,16,275,1,0.27,2,0.59,0.63,0.062,6565,original,0,0,0,0,1,11.153690103100145,0,4.759476041240059,1,0
23,Tuesday,Lifestyle,267913,30,13,158,0,0.19,3,0.76,0.43,0.088,8791,original,0,0,0,0,1,12.49842131247262,1,5.275368524989049,1,3
13,Wednesday,Entertainment,326879,30,15,173,0,0.69,2,0.38,1.0,0.101,8697,original,0,0,0,1,1,12.697348410051449,1,5.49293936402058,2,2
20,Saturday,Business,199027,90,4,149,1,0.22,0,0.58,0.97,0.071,9521,original,1,1,0,0,0,12.201200797326406,0,5.2344803189305615,5,0
9,Monday,Tech,332069,90,9,267,1,0.6,1,0.86,0.55,0.077,10054,original,0,0,1,0,0,12.713101069047779,1,5.4872404276191125,0,5
22,Monday,Business,257709,90,6,278,1,0.26,4,0.45,0.41,0.084,7386,original,0,0,0,0,0,12.459590200699365,1,5.207836080279746,0,0
16,Friday,Business,204041,45,10,190,0,0.66,0,0.43,0.87,0.107,6556,original,0,0,0,0,1,12.226081133988432,1,5.282432453595374,4,0
